Document_ID,Invoice_ID,Vendor_Name,Vendor_GSTIN,Buyer_Name,Invoice_Number,Invoice_Date,PO_Number,Taxable_Amount,CGST_Amount,SGST_Amount,IGST_Amount,Total_Amount,Confidence_Score,OCR_Status,Reconciliation_Status,Processing_Time_Min,Exception_Reason
DOC000001,INV000001,ABC Industries,19ABCDE1679F1Z8,Cognizant,INVNO-100001,2025-03-07,PO-3352480,199619.26,0,0,55201.96,254821.22,84.22,Partial,Matched,6,No Exception
DOC000002,INV000002,Sunrise Traders,11ABCDE2246F1Z6,Infosys,INVNO-100002,2025-06-09,PO-7734282,167762.14,15098.59,15098.6,0,197959.33,96.97,Success,Matched,30,No Exception
DOC000003,INV000003,Global Traders,14ABCDE3249F1Z5,Infosys,INVNO-100003,2025-01-24,PO-1126762,34186.68,3656.31,3656.31,0,41499.3,84.12,Partial,Matched,24,No Exception
DOC000004,INV000004,Future Tech,26ABCDE1853F1Z4,HCL,INVNO-100004,2025-05-06,PO-1820727,184647.84,0,0,22719.76,207367.6,93.6,Failed,Matched,8,No Exception
DOC000005,INV000005,ABC Industries,11ABCDE5094F1Z9,Infosys,INVNO-100005,2024-12-16,PO-3110092,153505.5,0,0,13970.54,167476.04,84.42,Partial,Matched,4,No Exception
DOC000006,INV000006,Velocity Systems,35ABCDE2501F1Z7,TCS,INVNO-100006,2024-10-29,PO-3603781,268645.86,26870.24,26870.24,0,322386.34,85.72,Partial,Matched,10,No Exception
DOC000007,INV000007,Omega Supplies,15ABCDE5201F1Z2,Capgemini,INVNO-100007,2025-05-21,PO-6417321,284599,0,0,27372.67,311971.67,82.2,Partial,Matched,2,No Exception
DOC000008,INV000008,Omega Supplies,21ABCDE2311F1Z7,IBM India,INVNO-100008,2024-08-12,PO-3763982,126175.41,0,0,35329.12,161504.53,84.44,Failed,Matched,7,No Exception
DOC000009,INV000009,GreenLeaf Trading,25ABCDE3562F1Z5,Infosys,INVNO-100009,2025-09-15,PO-2680498,349840.11,24196.01,24196,0,398232.12,96.03,Partial,Matched,5,No Exception
DOC000010,INV000010,Blue Ocean Pvt Ltd,10ABCDE3735F1Z2,Accenture,INVNO-100010,2025-08-25,PO-1911738,187965.1,0,0,28814.62,216779.72,90.64,Success,Matched,13,No Exception
DOC000011,INV000011,Zenith Solutions,25ABCDE6347F1Z4,Wipro,INVNO-100011,2025-11-27,PO-7927245,275978.48,16929.42,16929.43,0,309837.33,98.11,Success,Matched,13,No Exception
DOC000012,INV000012,ABC Industries,19ABCDE4292F1Z9,Capgemini,INVNO-100012,2024-05-17,PO-6984122,209227.26,23263.35,23263.36,0,255753.97,90.91,Success,Matched,27,No Exception
DOC000013,INV000013,Neo Technologies,26ABCDE6130F1Z7,Accenture,INVNO-100013,2025-12-29,PO-5922058,334305.19,0,0,58934.38,393239.57,87.27,Failed,Matched,8,No Exception
DOC000014,INV000014,GreenLeaf Trading,22ABCDE1353F1Z6,Accenture,INVNO-100014,2025-09-25,PO-5066109,283059.02,0,0,48301.42,331360.44,81.65,Partial,Matched,3,No Exception
DOC000015,INV000015,Sunrise Traders,17ABCDE7638F1Z7,Wipro,INVNO-100015,2025-11-23,PO-4350335,180263.88,21551.03,21551.04,0,223365.95,91.03,Failed,Matched,13,No Exception
DOC000016,INV000016,Crystal Electronics,30ABCDE8551F1Z6,Capgemini,INVNO-100016,2025-06-06,PO-5627891,378588.7,42275.14,42275.15,0,463138.99,96.94,Partial,Matched,9,No Exception
DOC000017,INV000017,Sigma Enterprises,26ABCDE6813F1Z5,Cognizant,INVNO-100017,2024-10-02,PO-6733239,246989.52,0,0,17903.34,264892.86,83.52,Success,Matched,30,No Exception
DOC000018,INV000018,Future Tech,19ABCDE2609F1Z4,Accenture,INVNO-100018,2024-06-26,PO-8650832,317129.89,24828.43,24828.43,0,366786.75,83.14,Success,Matched,10,No Exception
DOC000019,INV000019,Tech Solutions,21ABCDE8216F1Z6,Capgemini,INVNO-100019,2025-01-27,PO-7222811,215907.5,18653.76,18653.76,0,253215.02,98.76,Success,Matched,23,No Exception
DOC000020,INV000020,Global Traders,11ABCDE5502F1Z1,Infosys,INVNO-100020,2025-06-05,PO-7812764,61540.54,1918.38,1918.39,0,65377.31,98.01,Partial,Matched,6,No Exception
