Invoice_ID,Line_No,Item_Description,HSN_Code,Quantity,Unit_Price,Tax_Rate,Line_Total_Amount,PO_Match_Status
INV000001,1,Webcam,185026,9,1733.49,28.00,19969.80,Not Matched
INV000001,2,Printer,694917,3,18485.84,28.00,70985.63,Not Matched
INV000001,3,Webcam,267393,5,1382.85,18.00,8158.82,Not Matched
INV000001,4,Monitor,693836,8,15205.76,28.00,155706.98,Not Matched
INV000002,1,Printer,593697,7,5324.96,18.00,43984.17,Partial Match
INV000002,2,Tablet,511121,7,18641.06,18.00,153975.16,Not Matched
INV000003,1,Mouse,576979,8,2171.71,28.00,22238.31,Matched
INV000003,2,Mouse,935060,2,3586.88,18.00,8465.04,Matched
INV000003,3,Webcam,554313,2,4819.62,12.00,10795.95,Matched
INV000004,1,Keyboard,269726,5,11728.15,28.00,75060.16,Partial Match
INV000004,2,Webcam,283944,7,12058.03,5.00,88626.52,Partial Match
INV000004,3,Monitor,833242,6,6933.48,5.00,43680.92,Not Matched
INV000005,1,Laptop,911280,3,4788.44,5.00,15083.59,Not Matched
INV000005,2,Tablet,845893,6,3054.83,5.00,19245.43,Partial Match
INV000005,3,Mouse,616565,9,3430.99,5.00,32422.86,Partial Match
INV000005,4,Laptop,240863,7,12847.47,12.00,100724.16,Matched
INV000006,1,Webcam,603965,9,4307.00,28.00,49616.64,Matched
INV000006,2,Printer,874033,10,13425.23,12.00,150362.58,Partial Match
INV000006,3,Monitor,424358,8,11953.82,28.00,122407.12,Not Matched
INV000007,1,Webcam,769528,7,8829.31,12.00,69221.79,Matched
INV000007,2,Mouse,759060,9,19904.67,5.00,188099.13,Not Matched
INV000007,3,Tablet,925672,6,2039.25,18.00,14437.89,Not Matched
INV000007,4,Laptop,176304,3,10472.10,28.00,40212.86,Not Matched
INV000008,1,Webcam,147325,9,10772.21,28.00,124095.86,Partial Match
INV000008,2,Printer,142785,4,7306.38,28.00,37408.67,Not Matched
INV000009,1,Mouse,109456,7,6489.62,5.00,47698.71,Matched
INV000009,2,Monitor,739374,1,10656.20,28.00,13639.94,Not Matched
INV000009,3,Mouse,779664,9,16301.28,12.00,164316.90,Matched
INV000009,4,Monitor,288687,7,18776.47,18.00,155093.64,Not Matched
INV000009,5,Printer,296355,8,1951.22,12.00,17482.93,Not Matched
INV000010,1,Mouse,762134,2,19558.77,28.00,50070.45,Matched
INV000010,2,Server,625344,4,10610.72,12.00,47536.03,Not Matched
INV000010,3,Laptop,725414,10,9735.01,12.00,109032.11,Not Matched
INV000010,4,Mouse,809639,1,9054.58,12.00,10141.13,Not Matched
INV000011,1,Laptop,716802,6,3514.48,18.00,24882.52,Not Matched
INV000011,2,Laptop,523046,10,7529.84,28.00,96381.95,Partial Match
INV000011,3,Server,349793,10,17959.32,5.00,188572.86,Not Matched
INV000012,1,Monitor,115679,9,10306.39,28.00,118729.61,Matched
INV000012,2,Laptop,421088,5,8222.79,28.00,52625.86,Matched
INV000012,3,Printer,429648,10,7535.58,12.00,84398.50,Not Matched
INV000013,1,SSD,602972,4,10380.60,28.00,53148.67,Matched
INV000013,2,Webcam,821838,2,8888.57,5.00,18666.00,Partial Match
INV000013,3,Server,151583,4,14612.31,12.00,65463.15,Partial Match
INV000013,4,Router,637057,6,13977.68,28.00,107348.58,Not Matched
INV000013,5,Monitor,384272,9,14743.37,12.00,148613.17,Not Matched
INV000014,1,Tablet,507759,8,6572.77,28.00,67305.16,Partial Match
INV000014,2,Server,198795,6,16447.77,18.00,116450.21,Not Matched
INV000014,3,Webcam,589466,8,16473.78,12.00,147605.07,Matched
INV000015,1,Router,130395,9,8391.64,28.00,96671.69,Partial Match
INV000015,2,Webcam,779732,4,18171.94,28.00,93040.33,Matched
INV000015,3,Laptop,189129,2,16025.68,5.00,33653.93,Not Matched
INV000016,1,Tablet,916093,7,16866.47,28.00,151123.57,Not Matched
INV000016,2,Printer,756312,10,17824.98,18.00,210334.76,Partial Match
INV000016,3,Mouse,383333,5,13298.58,28.00,85110.91,Matched
INV000016,4,Webcam,823367,5,1305.71,5.00,6854.98,Not Matched
INV000016,5,Printer,389403,2,4626.08,5.00,9714.77,Partial Match
INV000017,1,Mouse,438492,8,1606.08,28.00,16446.26,Matched
INV000017,2,Monitor,416114,2,18562.02,12.00,41578.92,Matched
INV000017,3,Laptop,387812,9,9742.92,5.00,92070.59,Partial Match
INV000017,4,Router,403598,4,11882.54,5.00,49906.67,Not Matched
INV000017,5,Server,346503,10,6180.04,5.00,64890.42,Matched
INV000018,1,Router,716237,1,9868.85,5.00,10362.29,Partial Match
INV000018,2,Server,132842,4,19206.38,28.00,98336.67,Not Matched
INV000018,3,SSD,798584,8,10405.08,12.00,93229.52,Partial Match
INV000018,4,Webcam,542406,8,17228.53,12.00,154367.63,Not Matched
INV000018,5,Monitor,286707,2,4683.32,12.00,10490.64,Not Matched
INV000019,1,Router,646392,9,9158.26,12.00,92315.26,Partial Match
INV000019,2,Tablet,175770,8,12448.36,18.00,117512.52,Matched
INV000019,3,Monitor,808637,3,11298.76,28.00,43387.24,Matched
INV000020,1,Printer,856317,2,10769.87,5.00,22616.73,Matched
INV000020,2,Server,478890,2,13221.25,5.00,27764.63,Partial Match
INV000020,3,Router,323840,2,5127.53,5.00,10767.81,Not Matched
INV000020,4,Tablet,149662,2,1651.62,28.00,4228.15,Not Matched
INV000021,1,Mouse,682820,5,18201.68,18.00,107389.91,Not Matched
INV000021,2,Keyboard,157363,5,9108.98,12.00,51010.29,Not Matched
INV000022,1,Monitor,114626,1,8241.95,12.00,9230.98,Matched
INV000022,2,Printer,137679,10,3253.32,5.00,34159.86,Matched
INV000022,3,Monitor,682306,4,2046.92,5.00,8597.06,Matched
INV000022,4,Printer,797064,5,10281.56,5.00,53978.19,Not Matched
INV000022,5,Webcam,223193,3,18771.29,28.00,72081.75,Partial Match
INV000023,1,Webcam,718581,8,12938.90,28.00,132494.34,Matched
INV000023,2,Monitor,879268,1,16445.45,18.00,19405.63,Matched
INV000023,3,SSD,752388,7,8826.34,18.00,72905.57,Matched
INV000023,4,Printer,933289,5,1607.24,28.00,10286.34,Partial Match
INV000024,1,Tablet,970709,8,1590.82,18.00,15017.34,Partial Match
INV000024,2,Mouse,977505,1,5613.48,28.00,7185.25,Not Matched
INV000025,1,Printer,770409,9,12001.99,28.00,138262.92,Partial Match
INV000025,2,Keyboard,281803,10,12607.82,5.00,132382.11,Partial Match
INV000025,3,Mouse,569311,2,18672.42,12.00,41826.22,Not Matched
INV000025,4,SSD,547915,8,13639.62,18.00,128758.01,Matched
INV000026,1,Webcam,896395,10,17349.07,5.00,182165.24,Matched
INV000026,2,Monitor,498765,5,17993.58,5.00,94466.30,Not Matched
INV000027,1,Printer,129722,3,8802.58,28.00,33801.91,Matched
INV000027,2,Webcam,459867,5,3107.65,12.00,17402.84,Not Matched
INV000027,3,Keyboard,426059,4,13571.09,5.00,56998.58,Not Matched
INV000027,4,Server,450136,8,6302.42,18.00,59494.84,Not Matched
INV000027,5,Keyboard,409136,10,2539.79,28.00,32509.31,Not Matched
INV000028,1,Mouse,814962,10,18846.94,5.00,197892.87,Not Matched
INV000028,2,Tablet,901925,8,1264.20,12.00,11327.23,Matched
INV000028,3,Tablet,625297,9,4057.44,5.00,38342.81,Not Matched
INV000029,1,Printer,879177,10,3630.96,28.00,46476.29,Matched
INV000029,2,Webcam,236486,2,5479.06,12.00,12273.09,Partial Match
INV000030,1,Laptop,904993,4,3618.00,5.00,15195.60,Matched
INV000030,2,Server,114196,2,9720.93,5.00,20413.95,Partial Match
INV000030,3,Laptop,441876,7,7600.78,18.00,62782.44,Matched
INV000030,4,Printer,697275,4,12805.78,18.00,60443.28,Partial Match
INV000031,1,Webcam,900072,4,6873.34,18.00,32442.16,Matched
INV000031,2,Webcam,804461,7,11968.39,5.00,87967.67,Not Matched
INV000031,3,Keyboard,477155,6,17468.04,18.00,123673.72,Not Matched
INV000031,4,Webcam,985356,3,16720.01,28.00,64204.84,Not Matched
INV000031,5,Monitor,657309,10,18426.60,18.00,217433.88,Not Matched
INV000032,1,Laptop,191751,9,10548.28,18.00,112022.73,Not Matched
INV000032,2,Webcam,526075,1,5719.02,12.00,6405.30,Partial Match
INV000032,3,Tablet,891590,7,8788.12,12.00,68898.86,Partial Match
INV000033,1,SSD,518341,7,7392.05,5.00,54331.57,Not Matched
INV000033,2,Monitor,124792,1,9865.44,28.00,12627.76,Partial Match
INV000034,1,Printer,742787,10,8477.40,28.00,108510.72,Matched
INV000034,2,Router,683171,8,19657.61,5.00,165123.92,Matched
INV000034,3,Server,811218,10,1587.09,28.00,20314.75,Partial Match
INV000035,1,Laptop,214579,1,8980.27,18.00,10596.72,Matched
INV000035,2,Laptop,413458,9,16814.68,5.00,158898.73,Not Matched
INV000035,3,Mouse,719461,3,17789.82,18.00,62975.96,Not Matched
INV000035,4,Server,891922,9,5244.40,18.00,55695.53,Partial Match
INV000036,1,Tablet,769589,1,15782.79,5.00,16571.93,Matched
INV000036,2,Router,427482,8,3304.17,12.00,29605.36,Matched
INV000036,3,Mouse,409168,7,13341.49,28.00,119539.75,Not Matched
INV000036,4,Webcam,604922,1,12653.79,12.00,14172.24,Matched
INV000037,1,Router,449519,5,1034.93,28.00,6623.55,Not Matched
INV000037,2,Laptop,538785,4,10643.44,28.00,54494.41,Matched
INV000037,3,SSD,284580,4,19086.47,5.00,80163.17,Not Matched
INV000038,1,Server,884030,3,9386.64,28.00,36044.70,Not Matched
INV000038,2,Router,147955,4,18301.86,12.00,81992.33,Not Matched
INV000038,3,SSD,459343,7,17769.90,5.00,130608.77,Not Matched
INV000038,4,Webcam,380376,1,5503.53,5.00,5778.71,Not Matched
INV000039,1,Printer,978724,5,11283.24,12.00,63186.14,Partial Match
INV000039,2,SSD,504505,7,9262.50,18.00,76508.25,Not Matched
INV000040,1,Mouse,285899,8,14719.25,5.00,123641.70,Partial Match
INV000040,2,Monitor,294215,10,2148.22,12.00,24060.06,Matched
INV000040,3,Webcam,974839,9,7247.98,5.00,68493.41,Not Matched
INV000040,4,Mouse,515141,10,16399.72,12.00,183676.86,Matched
INV000041,1,Monitor,903432,3,5432.13,18.00,19229.74,Matched
INV000041,2,Webcam,256317,2,10420.70,5.00,21883.47,Not Matched
INV000041,3,Tablet,962263,5,16038.70,18.00,94628.33,Matched
INV000041,4,Laptop,438338,10,8020.78,28.00,102665.98,Partial Match
INV000042,1,Server,291895,4,3330.08,5.00,13986.34,Matched
INV000042,2,Laptop,466758,10,10659.62,12.00,119387.74,Not Matched
INV000042,3,Monitor,230009,3,8486.49,5.00,26732.44,Partial Match
INV000042,4,Server,904503,1,5397.56,12.00,6045.27,Partial Match
INV000043,1,Keyboard,159438,2,18318.66,12.00,41033.80,Matched
INV000043,2,Keyboard,469648,3,2571.45,5.00,8100.07,Partial Match
INV000043,3,Keyboard,588078,6,15826.92,5.00,99709.60,Partial Match
INV000044,1,Tablet,115314,2,4036.48,12.00,9041.72,Partial Match
INV000044,2,Server,398746,2,1892.22,18.00,4465.64,Not Matched
INV000045,1,Printer,262398,4,9661.61,28.00,49467.44,Matched
INV000045,2,Server,651833,7,16594.07,28.00,148682.87,Matched
INV000045,3,Laptop,732682,8,2820.50,28.00,28881.92,Matched
INV000045,4,Webcam,266644,9,12344.17,5.00,116652.41,Partial Match
INV000046,1,SSD,868212,3,11164.13,18.00,39521.02,Matched
INV000046,2,Tablet,634892,9,10834.39,28.00,124812.17,Not Matched
INV000046,3,Router,237298,6,6234.20,12.00,41893.82,Partial Match
INV000046,4,Webcam,495708,9,6101.65,12.00,61504.63,Not Matched
INV000046,5,Printer,860983,1,12619.24,28.00,16152.63,Matched
INV000047,1,Laptop,479275,4,8630.56,18.00,40736.24,Not Matched
